Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1963","1963","1000 No","129857.383","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1964","1964","1000 No","720940.861","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1964","1964","1000 No","585821.639","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1964","1964","1000 No","136485.371","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1965","1965","1000 No","740728.364","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1965","1965","1000 No","600726.057","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1965","1965","1000 No","138178.296","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1966","1966","1000 No","760366.338","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1966","1966","1000 No","617099.613","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1966","1966","1000 No","140495.407","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1967","1967","1000 No","778911.419","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1967","1967","1000 No","634734.521","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1967","1967","1000 No","143400.494","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1968","1968","1000 No","798710.04","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1968","1968","1000 No","653407.307","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1968","1968","1000 No","146474.476","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1969","1969","1000 No","820187.016","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1969","1969","1000 No","672382.464","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1969","1969","1000 No","149554.409","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1970","1970","1000 No","841694.676","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1970","1970","1000 No","691090.392","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1970","1970","1000 No","152510.525","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1971","1971","1000 No","862855.926","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1971","1971","1000 No","709232.763","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1971","1971","1000 No","155473.378","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1972","1972","1000 No","882834.819","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1972","1972","1000 No","726984.383","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1972","1972","1000 No","158303.813","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1973","1973","1000 No","902068.517","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1973","1973","1000 No","743191.08","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1973","1973","1000 No","161915.164","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1974","1974","1000 No","920201.598","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1974","1974","1000 No","757593.647","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1974","1974","1000 No","166344.168","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1975","1975","1000 No","936374.574","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1975","1975","1000 No","770916.894","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1975","1975","1000 No","170738.491","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1976","1976","1000 No","951042.279","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1976","1976","1000 No","783515.502","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1976","1976","1000 No","174627.117","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1977","1977","1000 No","964664.123","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1977","1977","1000 No","795124.194","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1977","1977","1000 No","178363.281","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1978","1978","1000 No","977636.673","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1978","1978","1000 No","802955.382","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1978","1978","1000 No","185090.984","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1979","1979","1000 No","991210.791","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1979","1979","1000 No","807133.192","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1979","1979","1000 No","195194.943","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1980","1980","1000 No","1005696.623","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1980","1980","1000 No","810993.444","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1980","1980","1000 No","205754.823","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1981","1981","1000 No","1020986.495","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1981","1981","1000 No","814531.684","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1981","1981","1000 No","216741.822","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1982","1982","1000 No","1037599.637","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1982","1982","1000 No","817712.036","X","Figure from international organizations",""
"OA","Annual population","159","China","561","Urban population","3010","Population - Est. & Proj.","1982","1982","1000 No","228199.645","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1983","1983","1000 No","1053721.391","X","Figure from international organizations",""
"OA","Annual population","159","China","551","Rural population","3010","Population - Est. & Proj.","1983","1983","1000 No","822595.313","X","Figure from international organizations",""
