Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","159","China","5110","Area","6621","Arable land","2012","2012","1000 ha","117928.8","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2013","2013","1000 ha","116978.5","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2014","2014","1000 ha","116205.8","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2015","2015","1000 ha","115470.5","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2016","2016","1000 ha","114048.8333","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2017","2017","1000 ha","112229.689","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2018","2018","1000 ha","111084.532","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2019","2019","1000 ha","109553.726","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2020","2020","1000 ha","109356.852","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2021","2021","1000 ha","108899.627","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2022","2022","1000 ha","108463.941","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1961","1961","1000 ha","1851","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1962","1962","1000 ha","1901","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1963","1963","1000 ha","1951","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1964","1964","1000 ha","2001","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1965","1965","1000 ha","2051","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1966","1966","1000 ha","2111","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1967","1967","1000 ha","2201","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1968","1968","1000 ha","2286","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1969","1969","1000 ha","2366","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1970","1970","1000 ha","2451","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1971","1971","1000 ha","2531","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1972","1972","1000 ha","2611","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1973","1973","1000 ha","2691","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1974","1974","1000 ha","2771","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1975","1975","1000 ha","2851","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1976","1976","1000 ha","2931","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1977","1977","1000 ha","3011","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1978","1978","1000 ha","3095","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1979","1979","1000 ha","3188","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1980","1980","1000 ha","3270","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1981","1981","1000 ha","3359","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1982","1982","1000 ha","3449","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1983","1983","1000 ha","3651","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1984","1984","1000 ha","3956","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1985","1985","1000 ha","5061","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1986","1986","1000 ha","6176","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1987","1987","1000 ha","7181","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1988","1988","1000 ha","7511","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1989","1989","1000 ha","7716","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1990","1990","1000 ha","7716","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1991","1991","1000 ha","7721","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1992","1992","1000 ha","8021","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1993","1993","1000 ha","8926","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1994","1994","1000 ha","9526","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1995","1995","1000 ha","10646","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1996","1996","1000 ha","10926","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1997","1997","1000 ha","11226","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1998","1998","1000 ha","11231","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","1999","1999","1000 ha","11231","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2000","2000","1000 ha","11231","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2001","2001","1000 ha","11231","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2002","2002","1000 ha","11431","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2003","2003","1000 ha","11836","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2004","2004","1000 ha","12236","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2005","2005","1000 ha","12581","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2006","2006","1000 ha","12831","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2007","2007","1000 ha","13481","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2008","2008","1000 ha","13826","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2009","2009","1000 ha","14221","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2010","2010","1000 ha","14716","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2011","2011","1000 ha","15411","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2012","2012","1000 ha","16006","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2013","2013","1000 ha","16201","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2014","2014","1000 ha","16221","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2015","2015","1000 ha","16201","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2016","2016","1000 ha","16867.6667","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2017","2017","1000 ha","17933.611","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2018","2018","1000 ha","18324.068","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2019","2019","1000 ha","19102.474","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2020","2020","1000 ha","19204.248","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2021","2021","1000 ha","19564.373","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6650","Permanent crops","2022","2022","1000 ha","19899.059","E","Estimated value",""
"RL","Land Use","356","India","5110","Area","6621","Arable land","1961","1961","1000 ha","155806","A","Official figure",""
