Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2000","2000","kg/ha","22.5498","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2001","2001","kg/ha","22.5755","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2002","2002","kg/ha","22.8078","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2003","2003","kg/ha","24.02","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2004","2004","kg/ha","23.9248","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2005","2005","kg/ha","24.5504","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2006","2006","kg/ha","25.2545","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2007","2007","kg/ha","25.9004","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2008","2008","kg/ha","26.1824","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2009","2009","kg/ha","26.941","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2010","2010","kg/ha","26.9763","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2011","2011","kg/ha","27.2511","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2012","2012","kg/ha","28.0821","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2013","2013","kg/ha","27.1381","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2014","2014","kg/ha","25.9265","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2015","2015","kg/ha","25.6218","E","Estimated value",""
