Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RT","Pesticides Trade","356","India","5610","Import quantity","1357","Pesticides (total)","2007","2007","t","23688.858","I","Imputed value"
"RT","Pesticides Trade","356","India","5610","Import quantity","1357","Pesticides (total)","2008","2008","t","32275.363","I","Imputed value"
"RT","Pesticides Trade","356","India","5610","Import quantity","1357","Pesticides (total)","2009","2009","t","34619.236","I","Imputed value"
"RT","Pesticides Trade","356","India","5610","Import quantity","1357","Pesticides (total)","2010","2010","t","49891.322","I","Imputed value"
"RT","Pesticides Trade","356","India","5610","Import quantity","1357","Pesticides (total)","2011","2011","t","63101.831","I","Imputed value"
"RT","Pesticides Trade","356","India","5610","Import quantity","1357","Pesticides (total)","2012","2012","t","61998.601","I","Imputed value"
"RT","Pesticides Trade","356","India","5610","Import quantity","1357","Pesticides (total)","2013","2013","t","71999.495","I","Imputed value"
"RT","Pesticides Trade","356","India","5610","Import quantity","1357","Pesticides (total)","2014","2014","t","94150.075","I","Imputed value"
"RT","Pesticides Trade","356","India","5610","Import quantity","1357","Pesticides (total)","2015","2015","t","75126.748","I","Imputed value"
"RT","Pesticides Trade","356","India","5610","Import quantity","1357","Pesticides (total)","2016","2016","t","92028.675","I","Imputed value"
"RT","Pesticides Trade","356","India","5610","Import quantity","1357","Pesticides (total)","2017","2017","t","111390.3718","I","Imputed value"
"RT","Pesticides Trade","356","India","5610","Import quantity","1357","Pesticides (total)","2018","2018","t","115029.7571","I","Imputed value"
"RT","Pesticides Trade","356","India","5610","Import quantity","1357","Pesticides (total)","2019","2019","t","108009.8975","I","Imputed value"
"RT","Pesticides Trade","356","India","5610","Import quantity","1357","Pesticides (total)","2020","2020","t","140388.3727","I","Imputed value"
"RT","Pesticides Trade","356","India","5610","Import quantity","1357","Pesticides (total)","2021","2021","t","149697.9596","I","Imputed value"
"RT","Pesticides Trade","356","India","5610","Import quantity","1357","Pesticides (total)","2022","2022","t","129411.4036","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","1990","1990","t","30970.111","B","Time series break"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","1991","1991","t","25481.66","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","1992","1992","t","26188.962","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","1993","1993","t","25164.476","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","1994","1994","t","30047.736","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","1995","1995","t","32344.256","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","1996","1996","t","42644.37","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","1997","1997","t","42604.95","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","1998","1998","t","32544.727","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","1999","1999","t","51344.199","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2000","2000","t","52709.845","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2001","2001","t","55656.167","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2002","2002","t","70177.808","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2003","2003","t","73029.29","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2004","2004","t","99841.827","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2005","2005","t","78652.501","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2006","2006","t","101900.975","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2007","2007","t","122336.599","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2008","2008","t","116521.077","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2009","2009","t","126576.767","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2010","2010","t","129666.661","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2011","2011","t","170771.298","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2012","2012","t","163376.713","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2013","2013","t","198573.553","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2014","2014","t","191934.459","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2015","2015","t","172980.7692","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2016","2016","t","180610.0968","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2017","2017","t","222322.079","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2018","2018","t","193223.7124","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2019","2019","t","149074.4338","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2020","2020","t","143180.3744","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2021","2021","t","178309.9328","I","Imputed value"
"RT","Pesticides Trade","764","Thailand","5610","Import quantity","1357","Pesticides (total)","2022","2022","t","168990.8353","I","Imputed value"
"RT","Pesticides Trade","704","Viet Nam","5610","Import quantity","1357","Pesticides (total)","1990","1990","t","5320.7951","I","Imputed value"
